โครงสร้างและรูปแบบข้อมูล XML  ภงด 50,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Index,Dictionary Entry Name (DEN) ,,,,,,,,<XML Tag>,Description ,Type ,Max Len,Attribute ,,,Rule Guideline,,,
,,,,,,,,,,,,,Mult. ,Input,Output,,,,
1,rdForm,,,,,,,,,,,,,,,,,,
1.1,,ExchangedDocumentContext,,,,,,,<rd:ExchangeDocumentContext>,บริบทของเอกสาร,Object,,[1…1],,,,,,
1.1.1,,,ExchangedDocumentContext.Guideline SpecifiedDocument Context Parameter,,,,,,<rd:GuidelineSpecifiedDocumentContextParameter>,ข้อมูลคู่มือมาตรฐาน,Object,,[1…1],,,,,,
1.1.1.1,,,,ExchangedDocumentContext.Guideline SpecifiedDocument Context Parameter.Id,,,,,<rd:Id>,รหัสคู่มือมาตรฐาน,String,10,[1…1],,,,,,
1.2,,ExchangeDocument,,,,,,,<rd:ExchangeDocument>,คำอธิบายภาพรวมของแบบภาษี,Object,,[1…1],,,,,,
1.2.1,,,ExchangeDocument.Id,,,,,,<rd:Id>,หมายเลขอ้างอิงการยื่นแบบ,String,13,[1…1],NU,,Common_R1,,,
1.2..2,,,ExchangeDocument.Name,,,,,,<rd:Name>,ชื่อแบบ,String,200,[1…1],NU,,,,,
1.2..3,,,ExchangeDocument.FormType:PND50,,,,,,<rd:FormType>,ประเภทแบบ,String,10,[1…1],,,Common_R2,,,
1.2..4,,,ExchangeDocument.Version,,,,,,<rd:Version>,เวอร์ชัน,String,10,[1…1],,,Common_R3,,,
1.2..5,,,ExchangeDocument.IssueDateTime,,,,,,<rd:IssueDateTime>,วันที่ทำรายการ หรือชำระภาษี,Date,,[1…1],NU,,Common_R4,,,
1.2..6,,,ExchangeDocument.IncludeNotes,,,,,,<rd:IncludeNotes>,เพิ่มเติม,Object,,[0…n],NU,C,Common_R5,,,
1.2.6.1,,,,ExchangeDocument.IncludeNote,,,,,<rd:IncludeNote>,รายละเอียดเพิ่มเติม,Object,,[0…n],NU,C,Common_R5,,,
1.2.6.1.1,,,,,ExchangeDocument.IncludeNote.Subject,,,,<rd:Subject>,Unique Identification Document,String,25,[0…n],NU,C,Common_R5,,,
1.2.6.1.2,,,,,ExchangeDocument.IncludeNote.Content,,,,<rd:Content>,Document Location Number,String,42,[0…n],NU,C,Common_R5,,,
1.3,,Sender,,,,,,,<rd:Sender>,ผู้นำส่ง,Object,,[0…1],C,C,Common_R11,,,
1.3.1,,,Sender.Id,,,,,,<rd:Id>,เลขประจำตัวผู้เสียภาษีอากรของผู้นำส่ง,String,13,[0…1],C,C,"Common_R11,Common_R23",,,
1.3.2,,,Sender.BranchNo,,,,,,<rd:BranchNo>,เลขที่สาขาของผู้นำส่ง,Number,,[0…1],C,C,Common_R11,,,
1.3.3,,,Sender.BranchType,,,,,,<rd:BranchType>,ประเภทสาขา,String,1,[0…1],C,C,"Common_R11,Common_R7",,,
1.3.4,,,Sender.Role,,,,,,<rd:Role>,ประเภทการนำส่ง,Number,,[0…1],C,C,Common_R11,,,
1.4,,TaxPayer         ,,,,,,,<rd:TaxPayer>      ,ข้อมูลการยื่นขอเสียภาษีอากร,Object,,[1…1],,,,,,
1.4.1,,,TaxPayer.SpecifiedTaxRegistration,,,,,,<rd:SpecifiedTaxRegistration>,ข้อมูลการลงทะเบียนผู้เสียภาษีอากร,Object,,[1…1],,,,,,
1.4.1.1,,,,TaxPayer.SpecifiedTaxRegistration.Id,,,,,<rd:Id>,เลขประจำตัวผู้เสียภาษีอากร,String,13,[1…1],,,Common_R23,,,
1.4.2,,,TaxPayer.BranchNo,,,,,,<rd:BranchNo>,เลขที่สาขา,Number,,[0…1],C,C,,,,
1.4.3,,,TaxPayer.BranchType,,,,,,<rd:BranchType>,ประเภทสาขา,String,1,[0…1],C,C,Common_R7,,,
1.4.4,,,TaxPayer.TitleCode,,,,,,<rd:TitleCode>,รหัสคำนำหน้าชื่อ,String,8,[0…1],C,C,Common_R13,,,
1.4.5,,,TaxPayer.TitleName,,,,,,<rd:TitleName >,คำนำหน้าชื่อ,String,8,[0…1],NU,,,,,
1.4.6,,,TaxPayer.Name,,,,,,<rd:Name>,ชื่อ,String,100,[0…1],NU,,,,,
1.4.7,,,TaxPayer.Middlename,,,,,,<rd:Middlename>,ชื่อกลาง,String,100,[0…1],NU,,,,,
1.4.8,,,TaxPayer.Surname,,,,,,<rd:Surname>,นามสกุล,String,100,[0…1],NU,,,,,
1.4.9,,,TaxPayer.EntrepTypeTitleCode,,,,,,<rd:EntrepTypeTitleCode>,รหัสคำนำหน้าชื่อสถานประกอบการ,String,8,[0…1],C,C,Common_R14,,,
1.4.10,,,TaxPayer.EntrepTypeTitleName,,,,,,<rd:EntrepTypeTitleName>,คำนำหน้าชื่อสถานประกอบการ,String,100,[0…1],C,C,Common_R14,,,
1.4.11,,,TaxPayer.EntrepTypeName,,,,,,<rd:EntrepTypeName>,ชื่อสถานประกอบการ,String,100,[0…1],C,C,,,,
1.4.12,,,TaxPayer.BirthDate,,,,,,<rd:BirthDate>,ข้อมูลวันเดือนปีเกิด,Object,,[0…1],C,C,Common_R15,,,
1.4.12.1,,,,TaxPayer.BirthDate.Year,,,,,<rd:Year>,ปี,String,,[1…1],,,,,,
1.4.12.2,,,,TaxPayer.BirthDate.Month,,,,,<rd:Month>,เดือน,String,,[0…1],,,,,,
